index,tittle,genre,overview,director,cast
38,Visaranai,Crime Drama,Four labourers are tortured by the police to confess to a theft they have not committed. Just as the,Vetrimaaran,"Dinesh , Samuthirakani , Aadukalam Murugadoss, Anandhi, Kishore"
39,Vil Ambu,Thriller Drama,The film follows the lives of two youngsters who are as different as chalk and cheese. With almost n,Ramesh Subramaniyam,"Sri , Harish Kalyan, Srushti Dange, Yogi Babu"
40,Anjala,Comedy Drama,The film is about a family that is determined to save their ancestral tea shop from being demolished,Gopi Sunder,"Vimal , Nandita , Pasupathy , Imman Annachi"
41,Theri,Action/Drama,A former policeman protects his daughter from gang threats while confronting his own violent past.,Atlee,"Vijay, Samantha Ruth Prabhu, Amy Jackson"
42,Kabali,Action/Drama,An aging gangster seeks vengeance and reunites with his lost family after release from prison.,Pa. Ranjith,"Rajinikanth, Radhika Apte, Dhanshika"
43,24,Sci-Fi Thriller,"A scientist invents a time-travel device, leading to confrontation with his evil twin.",Vikram Kumar,"Suriya, Samantha, Nithya Menen"
44,Iru Mugan,Sci-Fi Action Thriller,A former RAW agent hunts a scientist with a dangerous adrenaline-boosting drug.,Anand Shankar,"Vikram, Nayanthara, Nithya Menen"
45,Joker,Political Satire / Social Drama,An ordinary villager proclaims himself President to fight social injustice.,Raju Murugan,"Guru Somasundaram, Ramya Pandian, Gayathri Krishnaa"
46,Dharma Durai,Slice-of-Life Drama,A man returns to his village to reconcile with his past and family after years of urban life.,Seenu Ramasamy,"Vijay Sethupathi, Tamannaah Bhatia, Aishwarya Rajesh"
47,Miruthan,Action / Horror,A zombie outbreak in Tamil Nadu: a traffic cop and doctors race to find a cure.,Shakti Soundar Rajan,"Jayam Ravi, Lakshmi Menon, Anikha Surendran"
48,Irudhi Suttru,Sports Drama,A burnt-out boxing coach nurtures a fisherwoman’s talent to help her reach the national circuit.,Sudha Kongara,"Madhavan, Ritika Singh, Nassar"
49,Dhuruvangal Pathinaaru,Crime Thriller / Neo-noir,A retired police officer recounts his most haunting cold case.,Karthick Naren,"Rahman, Prakash Vijayaraghavan, Anjana Jayaprakash"
50,Aandavan Kattalai,Satirical Drama,"Two friends attempt to travel to London to escape debts, only to find unexpected challenges.",M. Manikandan,"Vijay Sethupathi, Ritika Singh, Pooja Devariya"
51,Baahubali 2: The Conclusion,Historical Epic,The heir fights to reclaim the throne from his power-hungry brother.,S. S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty"
52,Mersal,Action/Drama,A vigilante combats corruption in health and justice systems.,Atlee,"Vijay, S. J. Suryah, Kajal Aggarwal, Nithya Menen"
53,Vivegam,Action Thriller,A spy regains memory and stops an assassination plot.,Siva,"Ajith Kumar, Kajal Aggarwal, Vivek Oberoi"
54,Theeran Adhigaaram Ondru,Crime Thriller,True-life story of counter-terrorism in Tamil Nadu.,H. Vinoth,"Karthi, Rakul Preet Singh"
55,Vikram Vedha,Crime Thriller,A cop and a gangster play a moral game of cat and mouse.,Pushkar-Gayathri,"R. Madhavan, Vijay Sethupathi"
56,2,Sci-Fi Action,Dr. Vaseegaran summons robot Chitti to fight a techno entity.,S. Shankar,"Rajinikanth, Akshay Kumar, Amy Jackson"
57,Kaala,Action/Drama,A slumlord fights corporate greed and eviction threats.,Pa. Ranjith,"Rajinikanth, Nana Patekar, Samuthirakani"
58,Thaanaa Serndha Koottam,Crime/Heist,A man creates a fake CBI squad to expose corruption.,Vignesh Shivan,"Suriya, Keerthy Suresh, Karthik"
59,Vada Chennai,Crime Drama,A carrom player gets drawn into the city’s crime world.,Vetrimaaran,"Dhanush, Aishwarya Rajesh, Andrea Jeremiah"
60,Irumbu Thirai,Technology Thriller,An officer battles identity theft and cybercrime.,P. S. Mithran,"Vishal, Samantha, Arjun"
61,Kaithi,Action Thriller,An ex-convict helps cops to see his daughter again.,Lokesh Kanagaraj,"Karthi, Narain, Arjun Das"
62,Petta,Action Drama,A hostel warden with a violent past settles old scores.,Karthik Subbaraj,"Rajinikanth, Vijay Sethupathi, Simran"
63,Viswasam,Family Action,A village leader fights for his community and family.,Siva,"Ajith Kumar, Nayanthara, Vivek"
64,Mouna Guru,Action,"Mouna Guru,""A misunderstood youth is caught in a conspiracy and must prove his innocence.""",Santha Kumar,Arulnithi
65,7 Aum Arivu,Action,"7 Aum Arivu,""A genetic engineering project revives the past to stop a bio-war threat.""",A.R. Murugadoss,Suriya
66,Vaagai Sooda Vaa,Comedy,"Vaagai Sooda Vaa,""A young teacher brings change to a remote village and finds love.""",A. Sarkunam,Vimal
67,Mankatha,Action,"Mankatha,""A suspended cop plans a heist involving cricket betting and betrayal.""",Venkat Prabhu,Ajith Kumar
68,Kanchana: Muni 2,Comedy,"Kanchana: Muni 2,""A man possessed by a ghost uncovers the injustice done to a transgender person.""",Lawrence Raghavendra,Lawrence Raghavendra
69,Deiva Thirumagal,Drama,"Deiva Thirumagal,""A mentally challenged father fights for custody of his daughter.""",A.L. Vijay,Vikram
70,Vaanam,Action,"Vaanam,""Five strangers from different walks of life are connected by a common cause.""",Radha Krishna Jagarlamudi,T.R. Silambarasan
71,Ko,Action,"Ko,""A photojournalist gets entangled in political corruption and election intrigue.""",K.V. Anand,Jiiva
72,Payanam,Action,"Payanam,""An airplane hijack leads to a tense rescue operation by commandos.""",Radha Mohan,Nagarjuna Akkineni
73,Yutham Sei,Crime,"Yutham Sei,""A detective investigates a series of brutal murders linked to a revenge plot.""",Myshkin,Cheran
74,Aadukalam,Action,"Aadukalam,""A young man’s life changes after a cockfighting competition turns deadly.""",Vetrimaaran,Dhanush
75,Naduvula Konjam Pakkatha Kaanom,Comedy,"Naduvula Konjam Pakkatha Kaanom,""A man loses his memory before his wedding, leading to hilarious confusion.""",Balaji Tharaneetharan,Vijay Sethupathi
76,Thuppakki,Action,"Thuppakki,""An army captain uncovers a sleeper cell in Mumbai and takes on a deadly mission.""",A.R. Murugadoss,Joseph Vijay
77,Pizza,Horror,"Pizza,""A pizza delivery boy’s life turns into a nightmare involving ghosts and secrets.""",Karthik Subbaraj,Vijay Sethupathi
78,Naan,Crime,"Naan,""A man assumes a false identity and becomes a serial killer to escape his past.""",Jeeva Shankar,Vijay Antony
79,The Fly,Action,"The Fly,Action,""A murdered man reincarnates as a housefly and seeks revenge against his killer.""",S.S. Rajamouli,J.V.V. Sathyanarayana
80,Kalakalappu,Comedy,"Kalakalappu,Comedy,""Two brothers with a crumbling restaurant get caught in chaos involving corrupt politicians and petty thieves.""",Sundar C.,Vimal
81,Vazhakku Enn 18/9,Crime,"Vazhakku Enn 18/9,Crime,""A gritty tale of crime and justice unfolds when a schoolgirl becomes the victim of a scandal.""",Balaji Sakthivel,Sri
82,Kumki,Drama,"Kumki,Drama,""A young mahout and his elephant are sent to a tribal village where danger and love await.""",Prabu Solomon,Vikram Prabhu
83,Neethaane En Ponvasantham,Romance,"Neethaane En Ponvasantham,Romance,""A couple goes through the ups and downs of love from school to adulthood.""",Gautham Vasudev Menon,Jiiva
84,Thalaimuraigal,Drama,"Thalaimuraigal,Drama,""A retired Siddha doctor reconnects with his grandson and confronts caste divisions.""",Balu Mahendra,Karthick
85,Biriyani,Action,"Biriyani,Action,""A man accused of murder sets out to prove his innocence in a case tied to food and politics.""",Venkat Prabhu,Karthi
86,Ivan Veramaathiri,Action,"Ivan Veramaathiri,Action,""A common man becomes a vigilante to bring corrupt political criminals to justice.""",M. Saravanan,Vikram Prabhu
87,Kalyana Samayal Saadham,Comedy,"Kalyana Samayal Saadham,Comedy,""A groom-to-be deals with anxiety and societal expectations before his arranged marriage.""",R.S. Prasanna,Prasanna
88,Irandam Ulagam,Action,"Irandam Ulagam,Action,""Two parallel love stories unfold in different worlds—one real, one fantasy.""",K. Selvaraghavan,Arya
89,Pandiya Naadu,Action,"Pandiya Naadu,Action,""A peaceful man is pulled into violence after his brother is killed by gangsters.""",Suseenthiran,Vishal
90,Arrambam,Action,"Arrambam,Action,""A former soldier uses cyber warfare to expose government corruption.""",Vishnuvardhan,Ajith Kumar
91,Onaayum Aattukkuttiyum,Action,"Onaayum Aattukkuttiyum,Action,""A medical student helps a wounded criminal, getting entangled in a cat-and-mouse chase.""",Myshkin,Myshkin
92,Raja Rani,Comedy,"Raja Rani,Comedy,""A newly married couple learns to move past their previous heartbreaks.""",Atlee Kumar,Arya
93,6 Candles,Thriller,"6 Candles,Thriller,""A father searches through the underworld to rescue his kidnapped son.""",V.Z. Dhorai,Sandra Amy
94,Moodar Koodam,Comedy,"Moodar Koodam,Comedy,""Four friends plan a robbery, which goes hilariously wrong.""",Naveen,Naveen
95,Varuthapadatha Valibar Sangam,Comedy,"Varuthapadatha Valibar Sangam,Comedy,""A carefree youth group stumbles into a love and family drama.""",Ponram,Sivakarthikeyan
96,Thanga Meengal,Drama,"Thanga Meengal,Drama,""A father struggles to secure a good education for his daughter while battling poverty.""",Ram,Ram
97,Aadhalal Kadhal Seiveer,Romance,"Aadhalal Kadhal Seiveer,Romance,""Teenage love leads to emotional turmoil and societal consequences.""",Suseenthiran,Santhosh Ramesh
98,Maryan,Adventure,"Maryan,Adventure,""A kidnapped Indian worker in Sudan fights for survival and to return to his love.""",Ganapathy Bharat,Dhanush
99,Singam 2,Action,"Singam 2,Action,""A tough police officer, Durai Singam, takes on a global crime syndicate in this high-octane action sequel.""",Hari,Suriya
100,Theeya Velai Seiyyanum Kumaru,Comedy,"Theeya Velai Seiyyanum Kumaru,Comedy,""A young man, Kumar, seeks advice from a love guru to win over the girl of his dreams, leading to hilarious situations.""",Sundar C.,Siddharth
101,Neram,Action,"Neram,Action,""A young man finds himself in a race against time to repay a loan shark, with parallel narratives showcasing the events in both Tamil and Malayalam.""",Alphonse Puthren,Nivin Pauly
102,Soodhu Kavvum,Comedy,"Soodhu Kavvum,Comedy,""A group of amateur kidnappers find themselves in over their heads when their plans go awry, leading to a dark comedy of errors.""",Nalan Kumarasamy,Vijay Sethupathi
103,Ethir Neechal,Comedy,"Ethir Neechal,Comedy,""A young man struggles with low self-esteem and tries to find his identity and success through running.""",R.S. Durai Senthilkumar,Sivakarthikeyan
104,Kedi Billa Killadi Ranga,Comedy,"Kedi Billa Killadi Ranga,Comedy,""Two aimless young men from a small town try to make a name for themselves in local politics, resulting in humorous chaos.""",Pandiraj,Vimal
105,Paradesi,Drama,"Paradesi,Drama,""Based on true events, the film depicts the harsh lives of tea plantation workers during the British colonial period.""",Bala,Atharvaa Murali
106,Kaakkaa Muttai,Comedy,"Kaakkaa Muttai,Comedy,""Two slum-dwelling brothers yearn to taste a pizza, leading them on an innocent yet determined quest to earn money.""",M. Manikandan,Ramesh
107,Kayal,Romance,"Kayal,Romance,""A romantic drama set against the backdrop of the 2004 Indian Ocean tsunami, focusing on the love story of two young individuals.""",Prabu Solomon,Chandran
108,Pisasu,Horror,"Pisasu,Horror,""A struggling violinist encounters the ghost of a young woman and tries to uncover the truth behind her death.""",Myshkin,Naga
109,Lingaa,Action,"Lingaa,Action,""A dual-role film where Superstar Rajinikanth plays both a pre-independence era zamindar and his modern-day grandson, fighting for a cause.""",K.S. Ravikumar,Rajinikanth
110,Kaaviya Thalaivan,Drama,"Kaaviya Thalaivan,Drama,""A historical drama set in the 1930s, exploring the lives and rivalry of two aspiring stage actors.""",Vasanthabalan,Siddharth
111,Kaththi,Action,"Kaththi,Action,""A lookalike case sees a petty criminal assume the identity of an activist and fight for the rights of farmers against corporate exploitation.""",A.R. Murugadoss,Joseph Vijay
112,Jeeva,Drama,"Jeeva,Drama,""A young cricketer faces challenges and obstacles in his journey to achieve his dream of playing for the national team.""",Suseenthiran,Vishnu Vishal
113,Madras,Action,"Madras,Action,""Set in North Chennai, the film explores the lives of two friends, their loyalty, and the impact of local politics on their community.""",Pa. Ranjith,Karthi
114,Kathai Thiraikathai Vasanam Iyakkam,Drama,"Kathai Thiraikathai Vasanam Iyakkam,Drama,""A meta-film that explores the process of filmmaking, where a director struggles to come up with a script.""",Parthiban,Thambi Ramaiah
115,Jigarthanda,Action,"Jigarthanda,Action,""An aspiring filmmaker attempts to make a gangster film by shadowing a real-life gangster, leading to unexpected and darkly humorous consequences.""",Karthik Subbaraj,Siddharth
116,Velaiilla Pattadhari,Action,"Velaiilla Pattadhari,Action,""A jobless civil engineering graduate struggles to find work and respect, eventually fighting against corporate corruption.""",Velraj,Dhanush
117,Sathuranga Vettai,Crime,"Sathuranga Vettai,Crime,""A con artist uses various elaborate schemes to deceive people, showcasing the dark side of human greed.""",H. Vinoth,Nataraja Subramanian
118,Saivam,Drama,"Saivam,Drama,""A young girl's simple wish to save a rooster from being sacrificed for a family ritual leads to heartwarming family drama.""",A.L. Vijay,Nassar
119,Mundaasupatti,Comedy,"Mundaasupatti,Comedy,""A photographer visits a village where people believe that being photographed shortens their lifespan, leading to comical situations.""",Ram Kumar,Vishnu Vishal
120,Kochadaiiyaan,Animation,"Kochadaiiyaan,Animation,""India's first motion capture 3D animation film, featuring Rajinikanth in a historical action story.""",Soundarya R. Ashwin,Rajinikanth
121,Vaayai Moodi Pesavum,Comedy,"Vaayai Moodi Pesavum,Comedy,""Set in a town where people are afflicted by a mysterious 'silent' disease, the film explores communication and relationships.""",Balaji Mohan,Dulquer Salmaan
122,Cuckoo,Drama,"Cuckoo,Drama,""A heartwarming love story between two visually impaired individuals, exploring their unique perceptions of life and love.""",Raju Murugan,Dinesh
123,Thegidi,Crime,"Thegidi,Crime,""A young detective specializing in background checks uncovers a larger conspiracy while investigating a case.""",P. Ramesh,Ashok Selvan
124,Pannaiyarum Padminiyum,Comedy,"Pannaiyarum Padminiyum,Comedy,""A gentle landlord's obsession with owning a car, particularly a Premier Padmini, drives this charming and humorous tale.""",S.U. Arun Kumar,Vijay Sethupathi
125,Goli Soda,Action,"Goli Soda,Action,""Four street-smart teenagers from a market strive to make a name for themselves by starting their own business.""",Vijay Milton,Kishore Kumar G.
126,Veeram,Action,"Veeram,Action,""A protective elder brother takes on a gang to safeguard his sisters and their future, leading to intense action.""",Siva,Ajith Kumar
127,Rajini Murugan,Action,"Rajini Murugan,Action,""A young man struggles with his love life and family, eventually proving his worth and finding success.""",Ponram,Sivakarthikeyan
128,Visaaranai,Crime,"Visaaranai,Crime,""A raw and gripping portrayal of police brutality and corruption, focusing on four innocent men caught in the system.""",Vetrimaaran,Dinesh
129,Pasanga 2,Drama,"Pasanga 2,Drama,""The film highlights the issues faced by children with ADHD and the challenges parents face in understanding and supporting them.""",Pandiraj,Suriya
130,Thoongaavanam,Action,"Thoongaavanam,Action,""A police officer on the verge of divorce finds himself in a race against time to rescue his son from drug dealers in a single night.""",Rajesh M. Selva,Kamal Haasan
131,Naanum Rowdy Thaan,Action,"A quirky action-comedy about a wannabe rowdy, Pandian, who falls for a deaf girl, Kadhambari, seeking revenge for her father’s murder. Their chaotic journey blends romance, humor, and action.",Vignesh Shivan,Vijay Sethupathi
132,Kuttram Kadithal,Drama,"A poignant drama about a teacher whose impulsive act leads to a student’s hospitalization, exploring guilt, societal judgment, and redemption in a school setting.",Bramma G.,Master Ajay
133,Kirumi,Crime,"A gritty crime drama about a man entangled in a web of illegal activities, highlighting the consequences of greed and betrayal in a tense narrative.",Anu Charan,Anucharan
134,Maya,Horror,"A chilling horror film centered on a single mother, Maya, facing supernatural events linked to a cursed film, blending psychological terror with mystery.",Ashwin Saravanan,Nayanthara
135,Thani Oruvan,Action,"A high-octane action thriller about an honest cop, Mithran, battling a brilliant criminal mastermind, Siddharth, in a cat-and-mouse game of wits and action.",Mohan Raja,Jayam Ravi
136,Papanasam,Drama,"A Tamil remake of Drishyam, this drama follows a family man, Suyambulingam, who uses his wit to protect his family after an accidental crime, emphasizing family bonds and moral dilemmas.",Jeethu Joseph,Kamal Haasan
137,Indru Netru Naalai,Comedy,"A sci-fi comedy about two friends who stumble upon a time machine, leading to hilarious misadventures and unexpected consequences.",R. Ravikumar,Vishnu Vishal
138,Demonte Colony,Horror,"A group of friends explore a haunted mansion, facing terrifying supernatural events tied to its dark history in this gripping horror-thriller.",R. Ajay Gnanamuthu,Arulnithi
139,36 Vayadhinile,Drama,"A remake of How Old Are You?, this drama follows a 36-year-old woman rediscovering her ambitions and self-worth, tackling societal expectations and personal growth.",Roshan Andrews,Jyotika
140,Uttama Villain,Comedy,"A meta-comedy-drama about a superstar actor facing a terminal illness, blending his real life with a fictional film he’s shooting, exploring legacy and redemption.",Ramesh Aravind,Kamal Haasan
141,Kanchana 2,Comedy,"A horror-comedy sequel where a man possessed by spirits seeks to uncover their tragic past, mixing scares with humor and emotional moments.",Lawrence Raghavendra,Lawrence Raghavendra
142,OK Kanmani,Romance,"A modern love story about two young professionals exploring a live-in relationship, balancing career ambitions and romance with a fresh, urban vibe.",Mani Ratnam,Dulquer Salmaan
143,Rajathandhiram,Action,"A stylish heist thriller about a group of con artists planning a high-stakes robbery, filled with clever twists and suspense.",A.G. Amid,Veera Bahu
144,Enakkul Oruvan,Thriller,"A psychological thriller about a man with a split personality navigating dreams and reality, remade from the Kannada film Lucia.",Prasad Ramar,Siddharth
145,Press 1 for Tamil,Comedy,A light-hearted comedy about a call center employee whose life takes unexpected turns due to quirky workplace and personal antics.,Ramprakash Rayappa,Nakhul
146,Yennai Arindhaal,Action,"An action-packed cop drama following Sathyadev, a determined police officer, as he battles criminals and personal struggles, starring Ajith Kumar.",Gautham Vasudev Menon,Ajith Kumar
147,I,Action,"A visually stunning action-romance about a bodybuilder seeking revenge against those who wronged him, blending intense action with a transformative love story.",S. Shankar,Vikram
148,Dhuruvangal Pathinaaru,Action,"A gripping crime thriller about a retired cop recounting a complex case involving a double murder, filled with twists and nonlinear storytelling.",Karthick Naren,Rahman
149,Chennai 600028 Second Innings,Comedy,"A sequel to the cult classic, this sports comedy follows the same cricket team navigating personal and professional challenges with humor.",Venkat Prabhu,Jai
150,Achcham Yenbadhu Madamaiyada,Action,"A romantic action thriller about a young man’s road trip with his love interest, which turns dangerous due to unexpected criminal encounters.",Gautham Vasudev Menon,T.R. Silambarasan
151,Ammani,Drama,"A heartfelt drama about the bond between an elderly woman and a young man, exploring themes of compassion and human connection.",Lakshmi Ramakrishnan,Semmalar Annam
152,Aandavan Kattalai,Drama,"A comedy-drama about two illegal immigrants seeking to escape their troubles, addressing bureaucracy and identity with humor and heart.",M. Manikandan,Vijay Sethupathi
153,Kuttrame Thandanai,Crime,"A crime thriller about a man with a vision impairment who becomes a witness to a murder, unraveling a web of deceit and moral ambiguity.",M. Manikandan,Vidharth
154,Dharmadurai,Drama,"A rural drama about a doctor returning to his village, confronting family issues and personal demons, emphasizing love and redemption.",Seenu Ramasamy,Vijay Sethupathi
155,Joker,Comedy,"A satirical comedy-drama critiquing political corruption, following a man who takes on the system to fight for justice in his village.",Raju Murugan,Raju Saravanan
156,Kabali,Action,"A Rajinikanth-starrer, this action drama follows an aging gangster seeking justice for his community while confronting his past in Malaysia.",Pa. Ranjith,Rajinikanth
157,Metro,Action,"A gritty action thriller about a young man drawn into a chain-snatching racket, exploring crime and its societal impact in Chennai.",Ananda Krishnan,Shirish
158,Iraivi,Crime,"A multi-narrative crime drama exploring toxic masculinity and relationships, weaving together the lives of three men and the women in their lives.",Karthik Subbaraj,S.J. Suryah
159,Uriyadi,Action,"A political action thriller about college students caught in caste-based violence, delivering a raw and intense commentary on social issues.",Vijay Kumar,Vijay Kumar
160,24,Action,"A sci-fi action thriller about a scientist inventing a time-travel device, leading to a battle between his twin brother and a villain, starring Suriya.",Vikram K. Kumar,Suriya
161,Theri,Action,"A Vijay-starrer action drama about a former cop living a quiet life, forced back into action to protect his daughter from a vengeful criminal.",Atlee Kumar,Joseph Vijay
